,tweet,user,user_statuses_count,user_followers,user_location,user_verified,fav_count,rt_count,tweet_date
28,"I'm just saying that the media jumped all over Obama if he had the temerity to mention good jobs numbers while the economy was recovering from the Great Recession. More than 1,000 people died of COVID *yesterday*, Trump has his economic pom poms out &amp; it's just accepted.",scary lawyerguy,46043,13133,Dirty Jersey,False,0,0,2020-10-29 12:53:18
29,Japan’s Takeda Pharmaceutical said it would import and distribute 50 million doses of Moderna’s coronavirus vaccine candidate https://t.co/4ggF5TYSd8,Markets Today,359781,7188,"Tamil Nadu, India",False,0,0,2020-10-29 12:53:18
30,"@london_lab @covid_moonshot @jchodera @griffen_ed @PostEra_AI @DiamondLightSou C=N might be a A.O. metabolism hotspot that can be checked out using a CHF2 addition (Baran litmus). May be worth a try?
https://t.co/MmFHibD28a",John Spencer Lab,108,241,"University of Sussex, England",False,0,0,2020-10-29 12:53:18
31,"@bangordailynews All we hear from Trump is how great things are &amp; will be again, again.
Biden is the one obsessed with dark winter and death, closing the country back down, taxing to oblivion, how horrible things were before Covid hit.
But that happens to old senile seniors approaching death!",Abigail@MaineDog,449,9,,False,0,0,2020-10-29 12:53:17
32,Glad to see Christie's bout of covid has made him rethink his diet choices. https://t.co/HPs6Vld5Ow,rbe,133795,1808,"New York, New York",False,0,0,2020-10-29 12:53:17
33,https://t.co/poETl0SNGX @realdonaldtrump @senatemajldr THEY DON'T CARE ABOUT ANYONE BUT THEMSELVES @ElaineChao DO ANY INSIDER TRADING OR SIDE DEALS WITH CHINA. DID YOU AND #MoscowMitch HELP YOU THE ENDORSEMENT FROM CHINA? TALIBAN? #LINIGRADELINDSEY  RUSSIANS help @LindseyGrahamSC,Rose #joewontkillyou #BlackLivesMatter,304404,24872,"Washington, USA",False,0,0,2020-10-29 12:53:17
34,Rooster Kills Police Officer in Covid-19 Lockdown Raid https://t.co/BKx4kWPWbs,Greg KB,10845,1538,"TX (via NV, DC, MO, AR & RSA)",False,0,0,2020-10-29 12:53:17
35,Nigerian Rapper Ladipoe Tests Positive For COVID-19 https://t.co/QUsuK0Sqjh via @Shakarasquare,Shakara Square,38509,963,"Festac, Lagos, Nigeria",False,0,0,2020-10-29 12:53:16
36,Dr. #Fauci warns of a ‘whole lot of pain’ due to #coronavirus #pandemic in the coming months. #COVID19 #COVID https://t.co/aXCkhSqwBs,Harris Rubinroit,15591,317,NYC  E: (HRubinroit@gmail.com),False,0,0,2020-10-29 12:53:16
37,"Harris and Pence argued over various issues, including US COVID-19 response, economy, taxes, Supreme Court, and racial discrimination, among othe...",Lydia Lazareva,147,0,,False,0,0,2020-10-29 12:53:16
38,"@MLB @buehlersdayoff @coreyseager_5 @Lakers @Dodgers @AntDavis23 @KingJames I’m a Braves fan and I can honestly say that we lost fair and square. TBH it doesn’t matter if it’s a COVID World Series, it’s still a World Series. Only thing that I can hope is that the Braves make it next year or the Astros never make it again 😂🤞🏾 https://t.co/V84lpROZ0L",Carey Wilson,66,28,"Georgia, USA",False,0,0,2020-10-29 12:53:16
39,"@realDonaldTrump More than 40 states are reporting an increase in Covid-19 cases and many in the Midwest are seeing record hospitalizations
Madeline Holcombe

By Madeline Holcombe, CNN

Updated 3:57 AM ET, Thu October 29, 2020",Itsme_Wahchek,3511,10,,False,0,0,2020-10-29 12:53:16
40,"@Nutt_KT @politico Look at Europe. Germany, UK, France, Spain, Italy which corresponds in size to US population are having 50% more daily cases than us. After lockdowns &amp; cries on the Left how well they managed COVID. Trump is right, focus on protecting elderly, and on Vaccines and Therapeutics",Tom D,37813,701,"Sun Coast, Florida",False,0,0,2020-10-29 12:53:16
41,"@piersmorgan Although covid is clearly dangerous these fools at SAGE have barely got anything right. Let's limit social gatherings for sure but ignore the muppets at SAGE, especially Messrs Unbalanced and Shitty",P,159,3,,False,0,0,2020-10-29 12:53:16
42,"UPS, Delta Prepare for COVID-19 Vaccine Shipments | Aviation Pros https://t.co/N25qyOQZW8 | $BAC $SAVE $DAL $AAPL $TSLA $AAL $ALK $BA $JBLU $JETS $LUV $SPR $UAL $CCL $NCLH $RCL $DKNG $CZR $PENN",EUROPEAN TRADERS,21625,1902,Germany France Spain Italy  ,False,0,0,2020-10-29 12:53:16
43,"6/been the worldwide human-to-human #COVID pandemic conduit as it carries five percent of the population of #Wuhan every day, allowing rapid spread throughout Wuhan and the entire Hubei Province; it includes the high-speed rail station,allowing rapid spread throughout China; and",Oceanner,6436,55,,False,0,0,2020-10-29 12:53:15
44,Fact-checking #Trump’s closing arguments on #COVID19. ⁦@realDonaldTrump⁩ is lying. #MAGA2020 #CountryOverParty #AmericaOrTrump #RepublicansForBiden #RepublicansAgainstTrump #VoteBidenHarris2020 #VoteBlueToEndThisNightmare  https://t.co/rTu4YJOsTn,ABM-Esq.,3154,46,,False,0,0,2020-10-29 12:53:15
45,"@GrandWhoCentral Where did I say COVID was the cause of death? It definitely would have weakened his immune system, whatever the cause.",Amy McLean 🎃,79078,12791,"Hampstead/Belsize Park, London",False,0,0,2020-10-29 12:53:15
46,"@TheDreadShips Fair enough. Most Canadians I know would like to have a fit of nostalgia and visit the White House.

Except, you know, we're COVID infected zombieland right now.",Cassandra of Troy,16782,32954,"Washington, DC",False,0,0,2020-10-29 12:53:15
47,"5/an analysis of the hospitals where the earliest #COVID patients were seen, between Dec.1, 2019 to early January, and shows that all these hospitals were also located on the Metro Line 2.

This is the first paper in the world to observe that Line 2 is uniquely positioned to have",Oceanner,6436,55,,False,0,0,2020-10-29 12:53:15
48,"@zidanebaldpatch @OliviaG37717638 @NicolaSturgeon As I'm sure you will gather, teachers do not get official stats of who hails tested positive for covid.",Scottish Teacher,224,6,,False,0,0,2020-10-29 12:53:15
49,"@chassuz Superstore is another show I watch, a comedy about a big-box store. I haven’t watched this year’s premiere but I think it has a COVID storyline which has me nervous.",Wayne Shuler,16097,655,South  Carolina,False,0,0,2020-10-29 12:53:15
50,"@tveitdal North Dakota “Covid” Statistics:
500 deaths in 2020 YTD 

ND Flu &amp; respiratory failure stats
505 deaths in 2017 
450 deaths in 2016
480 deaths in 2015
491 deaths in 2014 https://t.co/H0ku9dYxgi",Andy Oz,76409,3524,"Perth, Australia",False,0,0,2020-10-29 12:53:15
51,"@panny_antoniou @Keir_Starmer He was stumbling all over the place, awkward and defensive. Most telling is that he didn't answer the questions or allow for follow ups. I've never seen him look so shifty. Thankfully he's not doing the Covid briefings. Even Boris would have blushed at his performance today.",Conor Chalmers,4350,1122,,False,0,0,2020-10-29 12:53:15
52,@NewHavenOnABike For the first time in 8hrs I’m actually hoping it was the dirty wipe I mistakenly used to clean my eyes because I’d prefer that over covid. 😓,Jennifer Quaye-Hudson,287,137,"New Haven, CT",False,0,0,2020-10-29 12:53:14
53,"@pazyamor3 @JoyVBehar You know, during the ‘17 flu season, &gt;3000 people died per day for 6 months! 3x as many that are dying from covid. Who was to blame for that?",D Marie,1795,55,,False,0,0,2020-10-29 12:53:14
54,"@realDonaldTrump THIS JUST IN, PRESIDENT WHO CLAIMS HE DOESN'T WANT THE COUNTRY TO PANIC ABOUT COVID, TELLS PEOPLE TO PANIC ABOUT BIDEN WINNING ELECTION.",Newspaper Boy,2182,214,,False,0,0,2020-10-29 12:53:14
55,@repsupremacy13 All that screening for covid for months and partying on private islands paid off i guess,Clem |𝖗𝖆𝖎𝖓 𝖔𝖓 𝖒𝖊 𝕰𝖗𝖆,15284,3833,TS•KP•SG,False,0,0,2020-10-29 12:53:13
56,"Toke Makinwa @tokstarr Recounts COVID-19 Experience
***
 ""My COVID-19 experience I have been missing in action for a bit guys, the last two weeks of my life has been pretty tough to handle. 

Read more at:
https://t.co/HcPXv2z9Ee",AllNews Nigeria,10826,4131,Nigeria,False,0,0,2020-10-29 12:53:13
57,"@Valssmith1 @realDonaldTrump @DonnaShalala Much mouvementen, many COVID",Jurg Ames,3897,24,,False,0,0,2020-10-29 12:53:13
58,"“The procedure is that whenever we charge suspects to court, they are always remanded in police facilities because of COVID 19. So, the next thing we do is to get them tested for COVID-19 after which they would be received at the correctional centres.” https://t.co/5Q6V9f8TjE",TallJohn🌍,117030,20385,Nigeria,False,0,0,2020-10-29 12:53:13
59,@TheFlocologist Where did you get that idea from?Britain is starting to have things in common with 1984 even without covid.,G i n a 🍓,3155,522,United Kingdom,False,0,0,2020-10-29 12:53:13
60,Being single and catching COVID-19 is not funny - Toke Makinwa says as she contracts the disease https://t.co/h3EIsq5xCM #newspapers #feedly,Marijke van der Lee,429075,412,,False,0,0,2020-10-29 12:53:13
61,"2/at the General Hospital of Central Theater Command of People's Liberation Army(PLA Hospital) in Wuhan, China, located at 627 Wulon Road, Wuchang District, Wuhan. International biospecimen data repositories indicate as early as Dec.10, 2019 #COVID patient records were being",Oceanner,6436,55,,False,0,0,2020-10-29 12:53:13
62,Dear @coasttocoastam Listened for yrs Tolerated for the last 7 mths but last night was the last straw. The worst country with COVID 250K dead 9mil infected you continue with your BS 1st it was just the flu now it doesn't exist at all and it's all fabricated. Despicable,Sanibelsland 🇨🇦,8493,532,"Niagara, Ontario",False,0,0,2020-10-29 12:53:12
63,"@LindaPatch “We have to face reality — never before have we reached herd immunity via natural infection with a novel virus, and SARS-CoV-2 is unfortunately no different.”

The false promise of herd immunity for COVID-19 https://t.co/jBNnWv7pIP",Bryan 😷 #8645110320,5383,394,Southeast Kansas,False,0,0,2020-10-29 12:53:12
64,@TeamPelosi @AlasscanIsBack Cuz’ he’s a faker and never had Covid in the first place. His entire existence is a ruse to feed his toxic narcissism,Hazy Daisy,408,205,,False,0,0,2020-10-29 12:53:12
65,"Covid can’t mean Wales takes its eye off the ball on climate change - https://t.co/kAdn0w4t82
https://t.co/shQv0UPjyO",Samuel Miller,345097,15018,Canada,False,0,0,2020-10-29 12:53:12
66,"The situation update on #coronavirus has been updated on our website (29 October at 14:50).

🔹Samples tested: approx. 1,504,400 
🔹Reported cases: 15,566
🔹Recovered: approx. 11,300

Read more 👇 https://t.co/sdGQYvL8Wx",THL,26849,61980,Helsinki,True,0,0,2020-10-29 12:53:12
67,@MassHHS @MassGovernor @CDCgov Funny how riots don’t spread Covid but having holiday meals with your family is a death sentence,Onebitenoonecares,717,0,,False,0,0,2020-10-29 12:53:12
68,"Sober look at the state of play in COVID-19 vaccine
development and trials.

https://t.co/Jm2zDd31zV","RichardC: suppress, trace, test",11757,211,Brookline,False,0,0,2020-10-29 12:53:11
69,covid don’t exist in ATL https://t.co/0YPVfuWAFz,мαяιѕѕαℓуηєє ♡,101164,1369,ᴛx.,False,0,0,2020-10-29 12:53:11
70,"@MSNBC 9 HOURS LEFT TO VOTE IN POLL

WHY DO YOU THINK DONALD TRUMP LOST THE WAR AGAINST COVID-19?

https://t.co/d4NViGkuAx",Dennis R. Hill,53165,67298,"Spring Lake Heights, NJ",False,0,0,2020-10-29 12:53:11
71,@EduPolicyInst @missdcox I wonder if there are any changes in trend from non covid data?,Oliver Newton,969,83,"London, England",False,0,0,2020-10-29 12:53:10
72,@rookery_99 @fos12 @thestorminside5 @jennyrickson @JamesMelville How many collateral deaths will there be of hospital trusts can’t deliver emergency care if they’re bogged down with the usual winter pressures and covid patients on top?,Matt Waller,831,83,Lake District,False,0,0,2020-10-29 12:53:10
73,"#EssexIsOPEN - Highlighting #Essex businesses who remain open and are Covid-ready

GOGGLEBOX
Swimwear
LEIGH-ON-SEA
01702 711991 - https://t.co/0fXHERdPzj https://t.co/kY4BFmCh4W",Essex Coronavirus Action,959,3059,,False,0,0,2020-10-29 12:53:10
74,other countries have it together in helping citizens and business with covid shutdowns here in the u.s. the two sides just like to fight,Tammy,25096,537,,False,0,0,2020-10-29 12:53:10
75,It may be time to reset expectations on when we’ll get a Covid-19 vaccine https://t.co/x8pb2IRJRu via @statnews,Tess Darci,4531,610,"Boston, MA",False,0,0,2020-10-29 12:53:10
76,"the sounds of my hampas hunts me everyday, i’m so sorry i promise to try and stop myself from making hampas after covid 😔",banana🍌,3254,54,,False,0,0,2020-10-29 12:53:10
77,"@BenWeiserNYT @gtconway3d @EricLiptonNYT • sided with 🇷🇺 over 🇺🇸 in Helsinki, on tv
• helped 🇷🇺 increase its 🌏 presence, from South America, the Middle East &amp; parts of Europe
• sent TONS of med supplies &amp; equip., to 🇷🇺, as 🇺🇸🏥’s are having shortages!
• told 🇺🇸 governors to handle covid national crisis on their own",AmFil,18197,20,,False,0,0,2020-10-29 12:53:10
78,@piersmorgan Everyone dies of covid. Jeez please stop,Sleepy Joe,1884,52,,False,0,0,2020-10-29 12:53:09
79,Bobby Ball - one half of Cannon &amp; Ball - dies at 76 after testing positive for Covid-19 https://t.co/oYsAXl0foK,Droitwich Advertiser,18640,1350,,False,0,0,2020-10-29 12:53:09
80,ngl i'm proud of myself i'm only in like $1k of debt now? which is good? i owe one person $500 but that's not meant to be paid for ages bc of covid n they don't want it right now so ? $1.5k still could be worse??,nono,1101,246,gw 43 ugw 38 cbmi - 17.7,False,0,0,2020-10-29 12:53:09
81,"On October 28, 2020, Missouri became the 22nd state with more than 3,000 deaths from COVID-19.","Michael Schrader, PhD, PE",15102,253,SE WI,False,0,0,2020-10-29 12:53:08
82,"@leoniedelt Don’t worry, wait a few days they’ll start saying that one of the symptoms of long Covid is “suicidal tendencies”",Dan Hay ✝️🏴󠁧󠁢󠁥󠁮󠁧󠁿,2430,94,"England, United Kingdom",False,0,0,2020-10-29 12:53:07
83,"$IFRX q3. Negative EV. Phase III on COVID-19 induced pneumonia, sites popping up every here and there. https://t.co/JUf1dnSDvB",O2,39,20,,False,0,0,2020-10-29 12:53:07
84,@akm832 Sometimes there’s a 24 hour delay. Even the TF has to work around Covid.,bg,4797,161,,False,0,0,2020-10-29 12:53:07
85,@realDonaldTrump Media and Big Tech are too busy covering your corruption and mismanagement of Covid.,Ann,17693,86,"New York, USA",False,0,0,2020-10-29 12:53:07
86,@Xenos42697881 @toadmeister @simondolan ........but apparently the NHS is complicit in falsifying the figures by telling everyone that their Nan died of Covid when she actually fell down the stairs!?!? 🙄,Redjont,1790,305,London,False,0,0,2020-10-29 12:53:07
87,"Peaceful protests demanding ""public health officers"" terminate their COVID-19 ""emergency orders"" are 11:45am TODAY in Sacramento, Placerville, San Rafael, Martinez, San Jose, Stockton, Santa Ana, Riverside
DETAILS: https://t.co/idxHNhZyJl

#livefree #tyranny #1a #savecalifornia https://t.co/Nd2mmwcO4j",SaveCalifornia.com,3230,985,"Sacramento, California",False,0,0,2020-10-29 12:53:07
88,@HNTurtledove I parked and waited for Trump COVID test,Victoria Adams,12767,11773,Washington DC,False,0,0,2020-10-29 12:53:06
89,"The Covid-19 pandemic in rural America is “a nightmare waiting to happen, and we are seeing it play out right now in the United States,” says the former Kansas governor and secretary of Health and Human Services.

#Covid19 #ruralhealth https://t.co/lRSHUamJiz",Daily Yonder,3641,6960,Rural America,False,0,0,2020-10-29 12:53:05
90,"5 days to Nov 3, 2020 Election  VOTE VOTE VOTE

78 days From Nov 3, 2020 to January 20, 2021  

83 days to  January 20, 2021 Inauguration

Miles Taylor - Anonymous (Covid throat) speaks out, like ""deep throat"" to verify year long investigative information here.✌️✌️🇺🇸🇺🇸👍👍😎👏👏 https://t.co/UTktVYU1GX",🐲Skiter🐉🗽🌎🥩👌🤟✍🥼🔔🌊🌊🌊🌊🌊🌊🌊🌊🌊,5989,4109,"Bowling Green, KY",False,0,0,2020-10-29 12:53:05
91,"@colin_dunlap Except for protests and trick-or-treating.  

Those 2 activities are immune to COVID.",Special K.,14050,77,"Pittsburgh, PA",False,0,0,2020-10-29 12:53:05
92,"The 1st and 2nd quarter collapse still looms twice as large.

U.S. third-quarter growth expected; healing from COVID-19 still a long way https://t.co/Ot5cBfuJ2a",Geo Steve,81827,53704,Texas,False,0,0,2020-10-29 12:53:05
93,"Though battered and bruised, advertising is emerging from its Covid-19 cocoon https://t.co/9f2cxBb7hi via @BusinessLiveSA",Winnifred Knight,1343,301,South Africa,False,0,0,2020-10-29 12:53:04
94,@realannapaulina @realDonaldTrump Who cares. Red people 🙄🙄😷😷😷😷😷💀💀💀💀💀🦠🦠🦠🦠🦠🦠🦠🦠#COVID #COVID19 #COVIDー19,Carmela D,36975,1637,La La Land,False,0,0,2020-10-29 12:53:04
95,Do you reckon goths can get covid,Billy,28274,1445,"Liverpool, England",False,0,0,2020-10-29 12:53:04
96,@shoeguydxb It was lovely thanks.  Nice chilled day. 49.5 til post Covid times lol,Chocolate Wine Woman,5874,169,mid glamorgan,False,0,0,2020-10-29 12:53:04
97,"@This_Chap @lordrix @sinjin1 @afneil Unfortunately that is a non peer reviewed study. 

it is a study that does not include care home residents.

It is a study that compare IFR rates for Covid Inc non symptomatic cases against a CDC measure for influenza that only includes symptomatic cases.",Alex Smith,6680,137,"Essex, England",False,0,0,2020-10-29 12:53:03
98,"He got a coronavirus vaccine in China, but had to keep it secret. Why? https://t.co/NGZac13Lts",Betty A. Gray,291118,1482,Houston Texas,False,0,0,2020-10-29 12:53:03
99,lil baby single handedly defeated covid . https://t.co/QPN3Uaddq8,word,11613,179,Purgatory ,False,0,0,2020-10-29 12:53:03
100,How #COVID put a spotlight on #equity https://t.co/XZMj19jffX  #k12 #students #remotelearning https://t.co/73OrrJbdFv,eSchool News,19706,81099,Maryland,False,0,0,2020-10-29 12:53:02
101,"@ThePerezHilton Covid is here to stay, end of story.
Much like flu, vaccines will alleviate symptoms, and ease up the pandemic, but vaccines DON'T cure viruses, and Trumps previous claims of that, need knocking on the head.",🐧🌹🥁🍗🏳️‍🌈,266467,1849,Wiltshire,False,0,0,2020-10-29 12:53:02
102,"No council has been put into the Level 4 of the new alert system for Covid

https://t.co/mtOHlsgoxD",The Scotsman,285097,178603,Scotland,True,0,0,2020-10-29 12:53:02
103,"@DavidGSmith18 @tripleGGGx @european_kate @The_Leaver @brianbloop2 @Davidmetroland @ShaneJa16905901 @RuddsBunny @Begentle50 @David19531501 @robertcecil1608 @Mac_Paddy54 @cathyby @GeoffreyKeey @susan04071 @dw2essex @chrisgregson123 @BrunoTheBridge @afewpoints @creativ61543336 @NielsOckelmann @butlerrichard2 @kid_alabama @mindedmusically @CarlsbadCharlie @thegrimbarian @littlebritain5 @JohnRya13591294 @William05548637 @hyweldjones @Gazza41 @RRasgorshek @Macid3000 @Jesse_T_White @CheeseNBranston @MattAdkin @ChewyBB @geor97 @Sir_Tom_Tucker @VeuveK @Squeakydog1 @Charlie_uk45 @Edele_Bear @IrishEurophile @GentlemanGeorge @BeowulfSchaefer @resiguru @anconky @losgallman @mostcertainty Riddle me this, though: while the UK has had very few working age deaths from Covid 19 (on the order of 650), 40-50% of those fatalities were in people with no underlying conditions; contrasting with the overall proportion of 10% of ""healthy"" deaths.",(((Robin Levett))),91789,373,,False,1,0,2020-10-29 12:53:02
104,Link:  https://t.co/QFvZcsaTTj,Cde. Chuck Hamilton #FuckThePolice,121162,996,"Chattanooga, TN, USA",False,0,0,2020-10-29 12:53:02
105,"@Facebook has published the latest version of its State of #SmallBusiness Report, which looks at how #COVID-19, and the related lockdown measures, are impacting #SMBs around the world.

See more from @socialmedia2day → https://t.co/Ptxz71mgIl https://t.co/cFMLvj8ePa",DP Online Marketing,20501,6029,"Nottingham, England",False,0,0,2020-10-29 12:53:01
106,"@ZLewis2442 @umichwolverine1 @Moxter3 @BarstoolBigCat And you probably need to rethink what population size means for pandemics. 

Are you sure that having less total cases in a less populous place is ""the same"" as having 5x cases in a place with 5x the population?

Would you rather be in a denser place with more covid present?","matt, but at home",12158,245,Madison - Minneapolis,False,0,0,2020-10-29 12:53:01
107,The 38th Rossendale are backing the national #RaceRoundTheWorld fundraising initiative organised by @UKScouting to raise money to help the 500+ Scout Groups who are at risk of closing due to the COVID-19 pandemic.  Check out the replies for more details of how to support.,38th Rossendale,688,551,Rossendale,False,0,0,2020-10-29 12:53:01
108,"How many people have recovered from Covid-19? One figure of 3.5 million recoveries is an undercount, health officials say—but by how much, they aren’t sure https://t.co/8BqsHY7NsA",Don Eaglehouse,3753,50,,False,0,0,2020-10-29 12:53:01
109,"@realDonaldTrump I think you should look at the 228,000 dead Americans to covid. 37millions unemployed and underemployed. And you dismantling The Affordable Care during a pandemic. The penitentiary awaits you.",Isabel Morales,5259,40,,False,0,0,2020-10-29 12:53:01
110,"@VinceGottalotta @CKBExtra @benshapiro Lol. This is such a BS response. It's not about me, a healthy person in my early 30s. Its about becoming a spreader of COVID and leading to hundreds of infections.",Kevin Breuer,2427,71,"Minnesota, USA",False,0,0,2020-10-29 12:53:01
111,"A nice summary of how the useless the Pallister government has been during the pandemic. Looks like our mostly covid-free spring and summer were dumb luck

https://t.co/hwYmDO3wGK",D̶a̶n̶a̶ Zuul,93972,472,Winnipeg,False,0,0,2020-10-29 12:53:01
112,As the weather turns colder experts are not just worried about patients with coronavirus stress but also seasonal affective disorder. https://t.co/yzrkBxOfEV,SND Dev,32403,27,,False,0,0,2020-10-29 12:53:01
113,Disneyland Paris to close as France begins a second COVID-19 shutdown https://t.co/hshuv4d12H,WDWMAGIC.COM,11057,89430,,False,0,0,2020-10-29 12:53:01
114,India proposes #IFS officer #SureshKumar as the new Charge d’affaires to #Pakistan https://t.co/Rj2Ew4KXtJ,National Herald,51116,101789,"New Delhi, India",True,0,0,2020-10-29 12:53:01
